system:index,CellCode,area,stratum,type,.geo
2_0,11594590,1402365.0716400146,708,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11594590,3133853.975967168,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11625144,9036318119.140965,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11625144,8068333.41919978,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,11625144,747000438.0783072,692,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11625144,83661492.8286815,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11625144,24421.336708906583,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,11625144,9408888.259107672,692,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11705184,7225168.922880106,664,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11705184,5366335.887128731,676,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,11705184,441436662.0130566,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,11705184,6544978040.678793,799,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11705184,36062.8060451732,664,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11705184,354291.4136828553,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,11705184,19049125.84569077,799,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,117551,673426707.5307158,798,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,117551,26948228.41629743,806,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,117551,7502519.189311218,798,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,117551,412120.363786675,806,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11846360,8867328489.042353,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11846360,379328524.899652,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11846360,438705.4167022705,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11856822,7769439014.260886,648,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11856822,106429605.67914312,793,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,11856822,1951787091.368531,800,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11856822,5206829.426961263,648,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11856822,205681.9799346924,793,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,11856822,346217.84632110596,800,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11867513,4712286479.923509,647,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11867513,2280300774.1089377,664,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11867513,10643177.330175184,647,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11867513,7784516.819218685,664,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11936211,5819031183.081152,665,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11936211,3985395566.7597528,703,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11936211,9217836.10900927,665,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11936211,6600080.410525962,703,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,11998344,247476422.3313537,661,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,11998344,111467958.24324404,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11998344,365053.9105758667,661,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11998344,1141269.105807256,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12021002,4965991268.347146,711,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12021002,301379.84167097503,711,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12057998,24388012.86555057,795,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,12057998,4590669527.813931,806,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12057998,75016.75228118896,795,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,12057998,20728162.16348856,806,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12569847,9942814661.313925,674,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12569847,17882200.899070982,674,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12671359,9755880596.740805,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12671359,7709549.762284372,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12852477,9545071163.308945,679,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12852477,13596383.980785295,679,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12877777,3409163324.2864976,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12877777,4114755.814951968,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1292149,658290458.5687809,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1292149,8332770079.510806,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1292149,3002.2950744628906,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,1292149,427540.3882598877,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,12962195,1012737049.3839957,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,12962195,8585616988.3668995,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12962195,992573.7167663574,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,12962195,731365.2275238037,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1302041,1220699312.7515025,664,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1302041,2464561.037660606,664,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13063441,402290415.03490126,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13063441,48372.65510559082,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13125652,9918234678.269651,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13125652,30657485.357892353,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1322060,605038241.8017036,665,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1322060,6011454.326879432,703,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1322060,1349943.6522677853,665,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1322146,9258711712.440292,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1322146,241302.34454345703,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13235433,61660534.274052136,660,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,13235433,2677180806.341452,794,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13235433,19407.606216430664,660,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,13235433,10930869.74570504,794,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13447417,1578341634.1551514,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13447417,3521010.8529166128,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13622976,3316925745.010234,651,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13622976,5979082.564125749,651,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13718550,8443312991.0024,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13718550,5219651.618614078,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,137507,8007999539.653848,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,137507,1285940379.986857,661,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,137507,460181977.4516266,692,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,137507,6887170.515462629,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,137507,1273834.4668109072,661,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,137507,1090722.069908531,692,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1375543,6808236077.71304,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1375543,7547898.436534059,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13769462,3272112766.3787136,805,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,13769462,8594102.72410736,805,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14173248,1042475671.2715316,679,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14173248,1049113999.804161,708,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,14173248,1181280444.3396297,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,14173248,5445849259.670055,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14173248,1054221.0378614238,679,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14173248,1043037.5057758704,708,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,14173248,1207277.7613754272,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,14173248,3557266.826034546,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14184016,7844314903.163446,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14184016,8948230.090697404,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14207377,9922599031.05902,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14207377,61581315.32343589,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14223274,6922990795.769368,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14223274,617561675.628346,801,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14223274,15204620.481452253,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14223274,203116.56484985352,801,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14256868,6409834803.282937,786,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14256868,3309427214.7794213,804,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14256868,14397875.17630675,786,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14256868,8897014.195705848,804,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
