system:index,area,id,stratum,.geo
"93,10_1",2449600.0,6.910520983E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,10_2",45600.0,6.910520983E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,10_3",16400.0,6.910520983E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,10_4",8400.0,6.910520983E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,10_0",2.1375616E9,6.508993469E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,10_1",4390400.0,6.508993469E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,10_2",378000.0,6.508993469E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,10_3",42800.0,6.508993469E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,10_4",280400.0,6.508993469E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,10_0",2.06401E9,2.504794298E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,10_1",3351600.0,2.504794298E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,10_2",103200.0,2.504794298E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,10_3",36000.0,2.504794298E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,10_4",56400.0,2.504794298E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,10_0",4.110356E8,8.760173041E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,10_1",801600.0,8.760173041E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,10_2",1200.0,8.760173041E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,10_3",400.0,8.760173041E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,11_0",8786000.0,5.242800329E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,11_0",4.448288E8,9.877425602E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,11_1",843600.0,9.877425602E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,11_2",119200.0,9.877425602E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,11_3",16400.0,9.877425602E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,11_4",41600.0,9.877425602E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,11_0",1.3654624E9,9.32937336E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,11_1",1712000.0,9.32937336E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,11_2",145600.0,9.32937336E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,11_3",32800.0,9.32937336E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,11_4",49200.0,9.32937336E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,11_0",2.2854128E9,1.703128128E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,11_1",2409600.0,1.703128128E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,11_2",36000.0,1.703128128E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,11_3",6000.0,1.703128128E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
