selectedName,sessionID,REFID,INDEX,verification,baseline_land_use,change_type,change_type_2,confidence,timespent,notes,starred,PLOTID
leopold_salzenstein,1738755143910,a17-18191327859827_68-2342530898549,0,no,bareland,NA,NA,very certain,101.825,NA,FALSE,a17-18191327859827_68-2342530898549
ioanna_petsiou,1738759494042,a17-40365871986917_47-96309002592284,0,no,grassland/wetland,Residential,NA,moderately certain,1108.162,"inside the pixel there is a built up, however it does not more than 50% of the red square.",FALSE,a17-40365871986917_47-96309002592284
ioanna_petsiou,1738759494042,a10-64461587070458_55-33648236741399,1,no,cropland,NA,NA,very certain,601.629,NA,FALSE,a10-64461587070458_55-33648236741399
ioanna_petsiou,1738759494042,a15-99386522400416_45-57434705146544,2,no,shrubland,NA,NA,moderately certain,611.112,"google earth does not have photos from 2018. Its earliest photo is in 2020, but the area doesnt seem to have changed",FALSE,a15-99386522400416_45-57434705146544
ioanna_petsiou,1738759494042,a7-64061482825869_43-96657986357506,4,no,shrubland,NA,NA,very certain,469.044,NA,FALSE,a7-64061482825869_43-96657986357506
lotta_narhi,1738763635606,a15-91105581972976_45-78927425924434,0,no,built,NA,NA,very certain,117.497,NA,FALSE,a15-91105581972976_45-78927425924434
lotta_narhi,1738763635606,a15-95909069074508_43-72576552882788,1,no,shrubland,NA,NA,very certain,262.39,NA,FALSE,a15-95909069074508_43-72576552882788
lotta_narhi,1738763635606,a-9-07668180263953_38-60086624402848,2,no,forest,NA,NA,moderately certain,232.007,"The vegetation in 2018 was borderline shrubland, but I'd still classify is as forest.",FALSE,a-9-07668180263953_38-60086624402848
ioanna_petsiou,1738759494042,a16-18061160053042_45-85266447236734,7,no,cropland,NA,NA,very certain,418.902,NA,FALSE,a16-18061160053042_45-85266447236734
lotta_narhi,1738763635606,a7-62023547390735_45-981031570811,4,no,bareland,NA,NA,very certain,388.614,NA,FALSE,a7-62023547390735_45-981031570811
ioanna_petsiou,1738759494042,a17-69579670675828_50-3019727386462,10,no,grassland/wetland,NA,NA,very certain,403.318,NA,FALSE,a17-69579670675828_50-3019727386462
