system.index,CellCode,PLOTID,stratum,.geo,country,geometry
000000000000000021c8_0,57620629,a2-33635126074151_46-70658788550066,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.33635126074151, 46.7065878855007)"
00000000000000000bc7_0,61958986,a1-97845816335487_49-80658439448325,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.97845816335487, 49.8065843944833)"
00000000000000000f9d_0,61958986,a2-51604143795188_49-10412486996706,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.51604143795188, 49.1041248699671)"
000000000000000016e3_0,61958986,a2-53574071136814_49-09776536776469,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.53574071136814, 49.0977653677647)"
00000000000000000f4e_0,63957442,a2-87268333469027_48-7128157468097,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.87268333469027, 48.7128157468097)"
00000000000000000681_0,64760445,a5-08540242475054_43-76029186799061,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.08540242475054, 43.7602918679906)"
00000000000000001dc8_0,65489445,a3-03039973767262_47-4408812845928,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.03039973767262, 47.4408812845928)"
00000000000000002526_0,66015699,a1-27390999184779_48-29845566522739,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.27390999184779, 48.2984556652274)"
00000000000000000b7e_0,71844463,a4-37087579430017_48-80590364134199,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.37087579430017, 48.805903641342)"
000000000000000010df_0,74196179,a1-27489693557263_47-05922712609627,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.27489693557263, 47.0592271260963)"
000000000000000004d2_0,76859701,a4-04048746383125_49-27867629839701,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.04048746383125, 49.278676298397)"
