CellCode,monthSet,start,end,geo
"1292149",start_7_end_10,"7",10,"POLYGON ((13.82201 65.36466, 13.95517 65.36151, 14.0883 65.35826, 14.2214 65.35489, 14.35446 65.35142, 14.48749 65.34784, 14.62049 65.34415, 14.75345 65.34036, 14.88637 65.33646, 15.01926 65.33245, 15.15211 65.32833, 15.28493 65.32411, 15.4177 65.31978, 15.55043 65.31534, 15.68312 65.3108, 15.81576 65.30615, 15.94836 65.30139, 15.97321 65.4138, 15.99829 65.52622, 16.02361 65.63865, 16.04917 65.75108, 16.07497 65.86352, 16.10102 65.97597, 16.12733 66.08843, 16.15388 66.20089, 16.01676 66.20583, 15.87958 66.21066, 15.74236 66.21538, 15.60509 66.21999, 15.46777 66.22449, 15.33041 66.22888, 15.193 66.23315, 15.05555 66.23731, 14.91806 66.24137, 14.78053 66.24531, 14.64296 66.24914, 14.50536 66.25285, 14.36771 66.25646, 14.23003 66.25995, 14.09232 66.26333, 13.95457 66.2666, 13.93743 66.15383, 13.92047 66.04106, 13.90367 65.9283, 13.88702 65.81555, 13.87054 65.70282, 13.85421 65.59009, 13.83804 65.47737, 13.82201 65.36466))"
"1302041",start_4_end_7,"4",7,"POLYGON ((-0.0221166 49.66906, 0.3217035 49.69914, 0.665908 49.72817, 1.010484 49.75616, 1.355419 49.7831, 1.335246 49.8946, 1.314955 50.00609, 1.294545 50.11758, 1.274016 50.22905, 1.253366 50.34052, 1.232595 50.45197, 1.211701 50.56342, 1.190683 50.67486, 0.8393451 50.64733, 0.4883922 50.61873, 0.1378384 50.58907, -0.212303 50.55834, -0.1880408 50.44721, -0.1639206 50.33608, -0.1399413 50.22494, -0.1161016 50.11378, -0.09240042 50.00262, -0.06883666 49.89145, -0.04540903 49.78026, -0.0221166 49.66906))"
"1322060",start_6_end_9,"6",9,"POLYGON ((33.036 42.08794, 33.18132 42.05366, 33.32651 42.01917, 33.47155 41.98448, 33.61645 41.94957, 33.7612 41.91446, 33.90581 41.87914, 34.05027 41.84361, 34.19459 41.80788, 34.21671 41.86107, 34.23888 41.91424, 34.26111 41.96741, 34.28339 42.02057, 34.30572 42.07372, 34.3281 42.12685, 34.35054 42.17998, 34.37303 42.23309, 34.39558 42.2862, 34.41817 42.33929, 34.44083 42.39238, 34.46353 42.44545, 34.48629 42.49852, 34.50911 42.55157, 34.53198 42.60461, 34.5549 42.65765, 34.40884 42.69398, 34.26262 42.73009, 34.11624 42.766, 33.96972 42.8017, 33.82304 42.83719, 33.6762 42.87247, 33.52922 42.90753, 33.38208 42.94239, 33.36005 42.88906, 33.33809 42.83572, 33.31617 42.78237, 33.29431 42.72901, 33.27249 42.67564, 33.25074 42.62226, 33.22903 42.56887, 33.20737 42.51547, 33.18577 42.46206, 33.16422 42.40865, 33.14272 42.35522, 33.12128 42.30178, 33.09988 42.24834, 33.07853 42.19488, 33.05724 42.14141, 33.036 42.08794))"
"1322146",start_6_end_9,"6",9,"POLYGON ((30.96727 62.13974, 31.19559 62.10646, 31.42345 62.07283, 31.65084 62.03886, 31.87777 62.00455, 32.10422 61.96989, 32.33021 61.93489, 32.55572 61.89954, 32.78074 61.86386, 32.86145 61.96952, 32.94279 62.07513, 33.02476 62.1807, 33.10738 62.28621, 33.19065 62.39167, 33.27457 62.49708, 33.35916 62.60244, 33.44443 62.70775, 33.32931 62.7262, 33.21405 62.74456, 33.09867 62.76283, 32.98316 62.78101, 32.86751 62.79911, 32.75174 62.81712, 32.63583 62.83504, 32.5198 62.85288, 32.40363 62.87062, 32.28734 62.88828, 32.17092 62.90585, 32.05438 62.92333, 31.9377 62.94073, 31.8209 62.95803, 31.70397 62.97525, 31.58692 62.99238, 31.50727 62.88595, 31.42826 62.77947, 31.34988 62.67295, 31.27213 62.56639, 31.195 62.45979, 31.11849 62.35315, 31.04258 62.24647, 30.96727 62.13974))"
"1375543",start_6_end_9,"6",9,"POLYGON ((36.58271 46.86493, 36.73807 46.82504, 36.89322 46.78494, 37.04816 46.74461, 37.20289 46.70406, 37.35741 46.66329, 37.51172 46.6223, 37.66582 46.5811, 37.81971 46.53967, 37.8487 46.59142, 37.87776 46.64316, 37.90689 46.69489, 37.9361 46.7466, 37.96538 46.79831, 37.99473 46.84999, 38.02416 46.90167, 38.05367 46.95333, 38.08325 47.00498, 38.1129 47.05661, 38.14263 47.10823, 38.17244 47.15984, 38.20232 47.21144, 38.23228 47.26302, 38.26231 47.31459, 38.29242 47.36614, 38.13658 47.40834, 37.98051 47.45031, 37.82422 47.49206, 37.66771 47.53359, 37.51097 47.5749, 37.35401 47.61598, 37.19683 47.65685, 37.03943 47.69748, 37.01033 47.64554, 36.98131 47.59359, 36.95236 47.54162, 36.92348 47.48964, 36.89468 47.43765, 36.86595 47.38564, 36.8373 47.33363, 36.80872 47.2816, 36.78022 47.22956, 36.75178 47.1775, 36.72342 47.12544, 36.69514 47.07336, 36.66692 47.02127, 36.63878 46.96917, 36.61071 46.91705, 36.58271 46.86493))"
"1584238",start_5_end_8,"5",8,"POLYGON ((22.02167 59.48191, 22.2387 59.46279, 22.45551 59.44333, 22.67208 59.42354, 22.88842 59.40341, 23.10452 59.38294, 23.32039 59.36214, 23.536 59.341, 23.75137 59.31953, 23.79582 59.42951, 23.84061 59.53948, 23.88573 59.64943, 23.9312 59.75937, 23.977 59.86929, 24.02315 59.97921, 24.06965 60.08911, 24.1165 60.19899, 23.89578 60.2211, 23.67479 60.24286, 23.45353 60.26428, 23.23201 60.28536, 23.01023 60.30609, 22.78819 60.32648, 22.5659 60.34652, 22.34336 60.36621, 22.30207 60.2557, 22.26109 60.14519, 22.22043 60.03466, 22.18007 59.92413, 22.14002 59.81359, 22.10027 59.70304, 22.06082 59.59248, 22.02167 59.48191))"
"1609724",start_4_end_7,"4",7,"POLYGON ((7.075002 47.37432, 7.240304 47.37864, 7.405631 47.3827, 7.57098 47.38652, 7.736351 47.39008, 7.901742 47.3934, 8.067151 47.39646, 8.232577 47.39927, 8.398019 47.40183, 8.391039 47.62678, 8.383982 47.8517, 8.376845 48.0766, 8.369627 48.30148, 8.201256 48.29887, 8.032902 48.296, 7.864566 48.29288, 7.696249 48.2895, 7.527954 48.28586, 7.359682 48.28197, 7.191434 48.27782, 7.023213 48.27341, 7.036378 48.04868, 7.049397 47.82392, 7.062271 47.59913, 7.075002 47.37432))"
"1767512",start_2_end_5,"2",5,"POLYGON ((35.49474 35.81628, 35.56078 35.79764, 35.62679 35.77895, 35.69277 35.76021, 35.75873 35.74143, 35.82465 35.7226, 35.89055 35.70372, 35.95642 35.6848, 36.02225 35.66582, 36.08806 35.64681, 36.15385 35.62775, 36.2196 35.60864, 36.28532 35.58948, 36.35102 35.57028, 36.41668 35.55103, 36.48232 35.53173, 36.54793 35.51239, 36.56841 35.56551, 36.58894 35.61862, 36.60951 35.67172, 36.63013 35.72481, 36.65079 35.77788, 36.67149 35.83095, 36.69224 35.884, 36.71304 35.93704, 36.73387 35.99007, 36.75476 36.04308, 36.77569 36.09609, 36.79666 36.14908, 36.81768 36.20206, 36.83874 36.25503, 36.85985 36.30798, 36.88101 36.36093, 36.81476 36.38054, 36.74848 36.40011, 36.68217 36.41962, 36.61583 36.4391, 36.54946 36.45852, 36.48306 36.4779, 36.41663 36.49723, 36.35016 36.51651, 36.28367 36.53575, 36.21715 36.55494, 36.1506 36.57408, 36.08402 36.59318, 36.0174 36.61223, 35.95076 36.63123, 35.88409 36.65019, 35.81739 36.66909, 35.79689 36.61588, 35.77644 36.56265, 35.75603 36.50941, 35.73567 36.45616, 35.71535 36.4029, 35.69508 36.34963, 35.67485 36.29634, 35.65467 36.24305, 35.63452 36.18974, 35.61442 36.13642, 35.59437 36.08309, 35.57436 36.02975, 35.55439 35.9764, 35.53446 35.92304, 35.51458 35.86967, 35.49474 35.81628))"
"1841782",start_6_end_9,"6",9,"POLYGON ((7.778504 60.88355, 8.007869 60.8869, 8.237275 60.88989, 8.466718 60.89251, 8.696194 60.89477, 8.925698 60.89666, 9.155224 60.89819, 9.384768 60.89935, 9.614325 60.90014, 9.611646 61.12523, 9.608925 61.35035, 9.606159 61.57549, 9.603347 61.80067, 9.367257 61.79985, 9.131181 61.79865, 8.895124 61.79707, 8.659093 61.79512, 8.423092 61.79279, 8.187127 61.79009, 7.951203 61.787, 7.715325 61.78354, 7.731506 61.5585, 7.747425 61.33349, 7.763089 61.10851, 7.778504 60.88355))"
"1899329",start_6_end_9,"6",9,"POLYGON ((20.22046 39.65925, 20.36437 39.64397, 20.50822 39.62847, 20.65201 39.61277, 20.79574 39.59685, 20.9394 39.58072, 21.083 39.56437, 21.22654 39.54782, 21.37002 39.53105, 21.3897 39.64285, 21.40948 39.75462, 21.42935 39.86638, 21.44932 39.97812, 21.46939 40.08983, 21.48955 40.20153, 21.50981 40.3132, 21.53017 40.42486, 21.38475 40.4419, 21.23927 40.45872, 21.09372 40.47533, 20.9481 40.49173, 20.80242 40.5079, 20.65667 40.52387, 20.51086 40.53962, 20.36499 40.55515, 20.34662 40.44323, 20.32833 40.33128, 20.31014 40.21933, 20.29203 40.10735, 20.27401 39.99535, 20.25608 39.88334, 20.23823 39.7713, 20.22046 39.65925))"
