PLOTID,country,m,r
a7-59206497317934_53-5394408506975,DEU,buffer nature stable,buffer nature stable
a7-34703441943242_53-00538110975777,DEU,buffer nature stable,cropland loss
a7-96225085692283_53-07013375021129,DEU,buffer crop/built stable,buffer crop/built stable
a7-5974081167654_53-31568586354565,DEU,buffer nature stable,buffer crop/built stable
a7-38013367915984_50-86912904014955,DEU,buffer nature stable,buffer crop/built stable
a10-41192975823556_51-16334010007476,DEU,buffer nature stable,nature loss
a11-06250066326212_50-48755282827594,DEU,buffer nature stable,nature loss
a9-26340562710695_53-8223586814816,DEU,buffer nature stable,buffer crop/built stable
a9-11283926964567_54-02212095287385,DEU,buffer nature stable,buffer crop/built stable
a6-58206572066672_51-81272865118209,DEU,buffer nature stable,buffer nature stable
a7-97848027039971_47-78030310557,DEU,buffer crop/built stable,buffer crop/built stable
a7-70116098686428_47-63573794323935,DEU,buffer crop/built stable,buffer crop/built stable
a9-8968135825473_53-51954445633982,DEU,buffer crop/built stable,buffer crop/built stable
a10-12127065638292_53-67678427469615,DEU,buffer crop/built stable,buffer crop/built stable
a9-39047102289808_51-26287824340556,DEU,buffer crop/built stable,buffer crop/built stable
a10-12292471895768_53-82999487896585,DEU,buffer crop/built stable,buffer crop/built stable
a12-91182418912062_48-40077834348067,DEU,buffer crop/built stable,buffer crop/built stable
a12-51718700063133_48-62448805109728,DEU,buffer crop/built stable,buffer nature stable
a10-65122476027214_49-66051792502743,DEU,buffer crop/built stable,cropland loss
a11-03793720588235_49-4229895923586,DEU,buffer crop/built stable,buffer crop/built stable
a12-22078870841359_49-32554188116868,DEU,buffer crop/built stable,buffer crop/built stable
a11-22034069694872_49-48043311364518,DEU,buffer crop/built stable,buffer crop/built stable
a11-13821087342031_49-37893944806191,DEU,buffer crop/built stable,buffer crop/built stable
a12-01658922900457_52-28498086849424,DEU,buffer crop/built stable,buffer nature stable
a8-46118449093105_50-9222854140302,DEU,buffer crop/built stable,buffer crop/built stable
a9-15136049768725_48-83083723176636,DEU,buffer crop/built stable,buffer crop/built stable
a9-16807989891541_49-18977464584408,DEU,buffer crop/built stable,buffer crop/built stable
a11-47160950278083_48-82903590859523,DEU,buffer crop/built stable,cropland loss
a11-58281062872607_48-58296621004696,DEU,buffer crop/built stable,buffer nature stable
a12-26745935690433_48-99296172395817,DEU,buffer crop/built stable,buffer crop/built stable
a14-22938377171472_51-0316910387187,DEU,buffer crop/built stable,buffer nature stable
a14-88764389216448_50-94157008963771,DEU,buffer crop/built stable,buffer crop/built stable
a10-0328686373329_52-24548090133284,DEU,buffer crop/built stable,buffer crop/built stable
a10-30530611541652_52-30530610141149,DEU,buffer crop/built stable,buffer crop/built stable
a9-82904763610045_52-32714419798001,DEU,buffer crop/built stable,cropland loss
a10-04268930783244_52-10437973827999,DEU,buffer crop/built stable,buffer nature stable
a7-53578688874846_51-04360681454464,DEU,buffer crop/built stable,nature loss
a9-03979656845253_52-72449614787377,DEU,buffer crop/built stable,buffer crop/built stable
a9-23287989974803_52-7711829725127,DEU,buffer crop/built stable,buffer crop/built stable
a8-39144996766647_48-1216831734896,DEU,buffer crop/built stable,buffer crop/built stable
a8-988487486366_47-74783776868521,DEU,buffer crop/built stable,nature loss
a7-988851836071_52-1807894365673,DEU,buffer crop/built stable,buffer crop/built stable
a7-02262195686136_51-89881493351799,DEU,buffer crop/built stable,nature loss
a13-6026334580047_53-98794484092706,DEU,buffer crop/built stable,buffer crop/built stable
a7-58575316334763_52-85657543197899,DEU,buffer crop/built stable,buffer crop/built stable
a7-28254084821248_50-52623926086176,DEU,buffer crop/built stable,buffer crop/built stable
a13-45580909774556_52-91196107000988,DEU,buffer crop/built stable,buffer crop/built stable
a10-44581087303548_50-56945823471651,DEU,buffer crop/built stable,buffer crop/built stable
a10-87478377565561_50-51691752915519,DEU,buffer crop/built stable,buffer crop/built stable
a6-79318042489383_51-090127022324,DEU,buffer crop/built stable,buffer crop/built stable
a7-56942462910854_47-6781768568834,DEU,crop/built stable,crop/built stable
a13-14891411404873_52-32113667541672,DEU,crop/built stable,crop/built stable
a8-97440720560036_51-9030131587239,DEU,crop/built stable,crop/built stable
a8-67145876417483_51-4473863175566,DEU,crop/built stable,crop/built stable
a12-53730187715474_54-08902837403829,DEU,crop/built stable,crop/built stable
a10-63148012260607_54-27567785048111,DEU,crop/built stable,crop/built stable
a9-84145683256661_54-05478492691863,DEU,crop/built stable,crop/built stable
a9-9930785096204_53-90446075780005,DEU,crop/built stable,crop/built stable
a9-80055197450009_54-30930107320884,DEU,crop/built stable,crop/built stable
a9-95399886855226_54-58514761238175,DEU,crop/built stable,crop/built stable
a12-52949607216917_48-30675027565641,DEU,crop/built stable,crop/built stable
a10-50135658378881_48-55478699458669,DEU,crop/built stable,crop/built stable
a13-38428010369534_51-23614353174016,DEU,crop/built stable,crop/built stable
a10-11056768839072_49-41287620582522,DEU,crop/built stable,crop/built stable
a10-47726170238577_49-46129291344268,DEU,crop/built stable,crop/built stable
a10-95953794845439_48-28194252323653,DEU,crop/built stable,crop/built stable
a6-86710285377814_50-05705463404193,DEU,crop/built stable,crop/built stable
a9-41255537478427_49-17360184813675,DEU,crop/built stable,crop/built stable
a9-94151130512669_54-77663875506047,DEU,crop/built stable,crop/built stable
a14-12411038677544_52-53252784890299,DEU,crop/built stable,crop/built stable
a12-2155498377045_48-95090178181437,DEU,crop/built stable,crop/built stable
a14-2502339771356_51-09384974400601,DEU,crop/built stable,nature stable
a12-28854600434318_51-19864028033352,DEU,crop/built stable,crop/built stable
a11-77366017993567_51-39796395616111,DEU,crop/built stable,crop/built stable
a11-50246634073586_51-59558743003494,DEU,crop/built stable,crop/built stable
a12-23752844614057_51-3623892657431,DEU,crop/built stable,crop/built stable
a12-02945308072025_51-24705842818188,DEU,crop/built stable,crop/built stable
a11-3150926304829_51-71973207179132,DEU,crop/built stable,crop/built stable
a12-06792182450088_51-70340488043758,DEU,crop/built stable,crop/built stable
a12-31046828401044_53-3222429813312,DEU,crop/built stable,crop/built stable
a12-4566537155944_48-18129348423072,DEU,crop/built stable,crop/built stable
a8-46860050291953_51-95280985958834,DEU,crop/built stable,crop/built stable
a8-94302884888763_52-00169636413141,DEU,crop/built stable,crop/built stable
a9-6766610337955_52-10349632218196,DEU,crop/built stable,crop/built stable
a6-81529983359199_52-62517375021604,DEU,crop/built stable,crop/built stable
a8-0993568110953_52-53203671188631,DEU,crop/built stable,crop/built stable
a13-32601473355831_54-37378519280469,DEU,crop/built stable,crop/built stable
a13-35999608222145_53-83571577157181,DEU,crop/built stable,crop/built stable
a12-85739923532817_54-18829597424921,DEU,crop/built stable,crop/built stable
a7-89701758792878_50-18199326078932,DEU,crop/built stable,crop/built stable
a7-03043609467108_50-54239887497255,DEU,crop/built stable,crop/built stable
a10-51989897474888_51-14106424935529,DEU,crop/built stable,nature stable
a11-05602530109494_51-15882416617321,DEU,crop/built stable,crop/built stable
a9-9248015745078_51-73416913732225,DEU,crop/built stable,crop/built stable
a10-50792647157304_51-22174757695558,DEU,crop/built stable,crop/built stable
a13-51907142035775_53-4904134364749,DEU,crop/built stable,crop/built stable
a7-48631846405842_49-89770028991406,DEU,crop/built stable,crop/built stable
a9-48856538347803_51-83230620677614,DEU,cropland loss,crop/built stable
a13-72845284184536_48-57440263970178,DEU,cropland loss,cropland loss
a12-90468014327417_49-06813500850476,DEU,nature loss,cropland loss
a11-02214380684326_48-38053640860586,DEU,cropland loss,cropland loss
a10-29747691230321_49-13175329455311,DEU,cropland loss,cropland loss
a12-60833336859205_51-0488189109628,DEU,cropland loss,cropland loss
a13-2755801489283_51-29799922407584,DEU,cropland loss,cropland loss
a9-81736587889181_49-85566639816938,DEU,cropland loss,cropland loss
a11-5987936489703_49-37289158599111,DEU,cropland loss,cropland loss
a10-60572886981833_47-88861369262717,DEU,cropland loss,cropland loss
a9-73415351015821_47-85711641511046,DEU,buffer crop/built stable,cropland loss
a9-95513324617814_48-07582351676791,DEU,cropland loss,crop/built stable
a8-84385159414154_50-26051365761137,DEU,cropland loss,crop/built stable
a9-58799720607877_50-78642057492765,DEU,cropland loss,cropland loss
a8-48241129169234_48-47437293228961,DEU,cropland loss,crop/built stable
a9-03609859228959_49-0653103350832,DEU,cropland loss,cropland loss
a13-46362933773579_50-62007786600781,DEU,cropland loss,cropland loss
a9-25147990270409_49-27940417331636,DEU,cropland loss,cropland loss
a8-60561971655899_49-25948530712174,DEU,cropland loss,nature loss
a11-97980906800864_48-35719958422897,DEU,cropland loss,nature loss
a14-16532975082526_51-18153920853484,DEU,cropland loss,cropland loss
a14-3176327526693_51-18138000684977,DEU,cropland loss,crop/built stable
a11-99530868435118_51-2856821022466,DEU,cropland loss,nature loss
a10-16367800216817_51-98429349071906,DEU,cropland loss,nature loss
a10-19869593938535_52-20065318117835,DEU,buffer crop/built stable,buffer crop/built stable
a7-2398164390094_51-84501929077496,DEU,cropland loss,cropland loss
a8-73098628144904_54-87095130167698,DEU,cropland loss,cropland loss
a9-62209915474079_52-68694982556162,DEU,cropland loss,cropland loss
a8-64135704364773_52-11914814448636,DEU,cropland loss,crop/built stable
a9-63492319379061_47-83784304298836,DEU,cropland loss,nature stable
a6-79098183627356_52-64035259248161,DEU,cropland loss,crop/built stable
a7-09832782267998_52-7198823828769,DEU,cropland loss,cropland loss
a7-662562312313_52-00945336462619,DEU,cropland loss,cropland loss
a7-57887785845401_52-68848905619867,DEU,cropland loss,cropland loss
a8-03256451955557_53-1190341198854,DEU,cropland loss,cropland loss
a7-17177213602975_53-35864710144777,DEU,cropland loss,cropland loss
a10-34034342418587_51-40051131844641,DEU,cropland loss,cropland loss
a9-41348744608146_54-07954871381391,DEU,cropland loss,nature stable
a6-57801332933516_51-01623168591831,DEU,cropland loss,cropland loss
a11-80114701842959_50-14434490699091,DEU,nature loss,nature loss
a12-34208468565333_50-7214841563197,DEU,nature loss,nature loss
a11-14007159407483_50-43196261012171,DEU,nature loss,nature stable
a10-0754232611723_53-50500735171378,DEU,nature loss,nature loss
a12-89344300727668_52-41972295600934,DEU,nature loss,crop/built stable
a13-00721810278232_52-53732269624464,DEU,nature loss,nature loss
a12-98747707853152_52-52900550477336,DEU,nature loss,nature loss
a10-00941761159611_54-18248855104294,DEU,nature loss,cropland loss
a10-30067599884234_53-94830385333587,DEU,nature loss,nature stable
a9-99285176866825_54-34360886641565,DEU,nature loss,crop/built stable
a13-01205079249166_48-79670962101962,DEU,nature loss,nature loss
a13-38637504582411_48-63272486186507,DEU,nature loss,nature stable
a9-74529093239942_48-51559318456809,DEU,nature loss,cropland loss
a10-4358508695587_49-70372732236429,DEU,nature loss,nature loss
a12-11572921400508_49-63199389717687,DEU,nature loss,nature loss
a11-14928687580101_49-44583315726791,DEU,nature loss,nature stable
a8-90825248771355_50-13715001343593,DEU,nature loss,crop/built stable
a8-64170851525512_48-34902777160931,DEU,nature loss,cropland loss
a9-29924596360298_49-17735864620771,DEU,nature loss,cropland loss
a11-93169286182448_48-27759383051435,DEU,nature loss,cropland loss
a14-17937375127757_51-42441776347108,DEU,buffer nature stable,buffer nature stable
a11-74405400589763_51-4885835429042,DEU,nature loss,nature stable
a11-14275504015563_52-6180983189916,DEU,nature loss,nature stable
a9-85232667418204_52-25168450091463,DEU,nature loss,cropland loss
a10-5943509272197_52-4427934943884,DEU,nature loss,nature loss
a12-94016073752669_47-91312108863082,DEU,nature loss,crop/built stable
a7-70772156780162_51-67819846104129,DEU,nature loss,cropland loss
a7-17805145010423_51-55270532744447,DEU,nature loss,nature loss
a7-59334802308178_51-97128761518352,DEU,nature loss,nature loss
a7-21435743599923_52-49036797374467,DEU,nature loss,nature loss
a6-9914962543708_51-94677141953641,DEU,nature loss,nature stable
a7-69444882003229_52-27909085955852,DEU,nature loss,nature stable
a13-92774996737556_53-94818573454432,DEU,nature loss,cropland loss
a13-69345400584435_53-84373456035875,DEU,nature loss,nature loss
a7-74944146150927_53-40814541964802,DEU,nature loss,cropland loss
a11-08086907474206_51-20021739422111,DEU,nature loss,nature stable
a10-66600811178811_50-64939597119455,DEU,nature loss,nature loss
a6-96296441046343_49-61216644313003,DEU,nature loss,nature stable
a7-90576105671546_49-97024822124978,DEU,nature loss,cropland loss
a7-56769619291395_49-4583755314251,DEU,nature loss,nature loss
a7-81572919676101_47-88007542474953,DEU,nature stable,nature stable
a8-31020309251034_48-06115805761728,DEU,nature stable,nature stable
a11-23682830047367_50-42340741491407,DEU,nature stable,nature stable
a9-14071846406209_51-01086093551196,DEU,nature stable,crop/built stable
a9-38058412714235_51-80410484992417,DEU,nature stable,nature stable
a13-6867104836982_48-60992656125778,DEU,nature stable,nature stable
a13-34349517314545_49-01573881868308,DEU,nature stable,nature stable
a9-93701521773539_49-05388002294059,DEU,nature stable,crop/built stable
a9-96358632997784_48-63228938500844,DEU,nature stable,nature stable
a9-90708175903348_49-18832220759455,DEU,nature stable,nature stable
a10-17281300387608_47-39767211130764,DEU,nature stable,nature stable
a13-52721504798487_51-27724443380609,DEU,nature stable,nature stable
a13-84264014455171_51-81059335411213,DEU,nature stable,nature stable
a10-45897370930548_50-05090608274402,DEU,nature stable,crop/built stable
a11-5318199436415_50-08865561692298,DEU,nature stable,nature stable
a11-23174791744165_49-39675325049538,DEU,nature stable,nature stable
a12-34592715679237_49-76167446033107,DEU,nature stable,crop/built stable
a12-33573351861041_49-5853804980052,DEU,nature stable,nature stable
a12-39366496651457_52-43433044209722,DEU,nature stable,nature stable
a11-25526675654763_52-6176884286923,DEU,nature stable,crop/built stable
a10-42249726874413_48-30761354960359,DEU,nature stable,nature stable
a10-13063534655015_48-15097790378258,DEU,nature stable,nature stable
a9-37581218577152_50-24703143507255,DEU,nature stable,nature stable
a8-63452824919243_50-94352019824455,DEU,nature stable,nature stable
a8-75594381194327_48-34389266749323,DEU,nature stable,nature stable
a8-45133809792989_48-61808845329533,DEU,nature stable,nature stable
a14-58188115148758_52-03283828026759,DEU,nature stable,nature stable
a14-48951828357622_51-95348051860761,DEU,nature stable,nature stable
a11-05694198836893_47-72733832991926,DEU,nature stable,crop/built stable
a12-16221148761182_47-61394733774561,DEU,nature stable,nature stable
a12-1247270922947_47-76601736030469,DEU,nature stable,crop/built stable
a7-33558502740197_49-18029800417303,DEU,nature stable,nature stable
a8-10197809717683_49-02800191356718,DEU,nature stable,nature stable
a11-56402083843974_48-80114755881273,DEU,nature stable,crop/built stable
a14-8303940340616_51-21872914661495,DEU,nature stable,nature stable
a11-66151664979818_51-5039896294849,DEU,nature stable,nature stable
a14-24742801296908_53-42194633410452,DEU,nature stable,crop/built stable
a10-11326133645317_52-65352350970615,DEU,nature stable,nature stable
a6-41120310435643_50-61390122013534,DEU,nature stable,nature stable
a6-16725151219262_50-91166560123364,DEU,nature stable,nature stable
a6-39262097543877_50-49300152213554,DEU,nature stable,nature stable
a12-40412795688224_47-93273613445205,DEU,nature stable,crop/built stable
a7-69415190781013_51-05225922967058,DEU,nature stable,nature stable
a8-1344511060301_51-51529862447365,DEU,nature stable,crop/built stable
a7-62935860490094_51-18053930481802,DEU,nature stable,nature stable
a9-47038566308535_52-28052199642627,DEU,nature stable,nature stable
a9-44242663723827_47-76188829800453,DEU,nature stable,crop/built stable
a9-03972102959108_47-76647891390099,DEU,nature stable,crop/built stable
a9-15649852644873_48-25355630854122,DEU,nature stable,nature stable
a7-34293971609191_52-7234941338854,DEU,nature stable,crop/built stable
a7-59990100241883_52-42817692438386,DEU,nature stable,crop/built stable
a13-72326288104004_54-08816222663693,DEU,nature stable,crop/built stable
a8-10808544603813_53-44159231304167,DEU,nature stable,crop/built stable
a7-57719588715773_53-40788514087961,DEU,nature stable,nature stable
a7-79650182943817_53-2886365594708,DEU,nature stable,crop/built stable
a7-15016113477619_50-94257354685152,DEU,nature stable,nature stable
a7-7484327066232_50-11628778427955,DEU,nature stable,nature stable
a9-71451301491307_51-70544485654927,DEU,nature stable,nature stable
a13-90142158511965_53-17489274605943,DEU,nature stable,nature stable
a12-95048919112387_53-04845440425937,DEU,nature stable,crop/built stable
a12-68786554397604_53-1259933940397,DEU,nature stable,nature stable
a13-8910436404637_53-55905336111211,DEU,nature stable,crop/built stable
a10-49025880126024_50-93309380071047,DEU,nature stable,nature stable
a10-45451712080451_50-52096682638555,DEU,nature stable,nature stable
a10-14363618866368_50-7147897093705,DEU,nature stable,crop/built stable
a9-93745336378055_50-21167557572446,DEU,nature stable,nature stable
a7-19890202098621_49-31492407484651,DEU,nature stable,nature stable
a7-19127975976203_49-45475331541611,DEU,nature stable,nature stable
a7-82382896531991_49-67051801393139,DEU,nature stable,nature stable
a6-12508571187332_51-23064275104267,DEU,nature stable,nature stable
a8-21732086721383_52-88810981051483,DEU,buffer nature stable,buffer crop/built stable
a9-49373568156797_49-31897968303092,DEU,buffer nature stable,buffer crop/built stable
a7-79445066862058_51-39339047840458,DEU,buffer nature stable,nature loss
a8-73111218076787_51-66675596180374,DEU,nature loss,nature loss
a11-42107112044831_53-91141283958812,DEU,nature loss,cropland loss
a9-36847769761918_49-29595158245583,DEU,nature loss,nature loss
a10-44666541462182_50-57026403394382,DEU,nature loss,nature loss
a13-07090409409113_54-34377833953938,DEU,cropland loss,cropland loss
a12-72128891955155_54-36923050839084,DEU,crop/built stable,crop/built stable
a8-87587169676258_50-83175951677664,DEU,buffer nature stable,buffer nature stable
a7-02475773535339_49-55072895931062,DEU,buffer nature stable,nature loss
a13-54323293658149_52-41203893224037,DEU,nature loss,nature loss
a11-07993716251615_47-59777548434877,DEU,nature loss,nature loss
a11-43445315077567_47-87182339073349,DEU,nature loss,nature stable
a7-2669442828279_53-14323141316949,DEU,nature loss,nature stable
a10-6953290577401_53-38028764822486,DEU,nature stable,nature stable
a11-88616016782742_52-68625233143361,DEU,nature stable,nature stable
a11-58360979322839_52-3645342241886,DEU,nature stable,nature stable
a12-36192566407945_52-93277695171283,DEU,nature stable,nature stable
a6-80739865677345_51-83911968724109,DEU,nature stable,nature stable
a10-9858744789721_50-70455108964766,DEU,nature stable,nature stable
a10-35089557881624_49-20741908871096,DEU,buffer nature stable,buffer nature stable
a10-27896225126639_48-57032226949789,DEU,buffer nature stable,cropland loss
a12-71322698900288_50-4405236407852,DEU,buffer nature stable,buffer crop/built stable
a9-23968265838404_53-33352698532266,DEU,nature loss,nature loss
a10-63356526745204_49-58094148711064,DEU,nature loss,nature loss
a6-78279573472295_49-36354932218426,DEU,nature loss,crop/built stable
a8-49424858713472_48-5350901677839,DEU,nature loss,nature stable
a9-21284576679557_48-29167252531316,DEU,nature loss,nature loss
a8-03001109113023_53-2210186559243,DEU,nature loss,nature loss
a7-40782094592453_49-35853583456984,DEU,nature loss,cropland loss
a13-83261745312273_52-47531491470287,DEU,nature stable,nature stable
a12-98550293435572_51-35742400887987,DEU,nature stable,crop/built stable
a11-63660286843375_47-91264816968067,DEU,nature stable,crop/built stable
a14-23764812060851_53-57869771736665,DEU,nature stable,nature stable
a11-21091876561309_53-33246860392183,DEU,nature stable,nature stable
a9-9497521722728_49-83988646286381,DEU,buffer crop/built stable,buffer crop/built stable
a8-20839635569771_51-65418518945383,DEU,buffer crop/built stable,buffer crop/built stable
a7-54929414236527_52-49197196102898,DEU,crop/built stable,crop/built stable
a8-83576400027938_53-18283989914372,DEU,nature loss,nature loss
a9-86115301678158_48-74465503266697,DEU,buffer nature stable,buffer nature stable
a9-47933135121811_48-13165021233013,DEU,nature loss,cropland loss
a9-52405809441073_54-08200308004994,DEU,buffer crop/built stable,cropland loss
a10-34535400863631_53-07930982513287,DEU,nature stable,nature stable
a10-78418071593259_48-91388719979266,DEU,crop/built stable,crop/built stable
a12-55835319715572_52-3205776413086,DEU,crop/built stable,crop/built stable
a10-45957364889502_47-43185381715232,DEU,nature stable,nature stable
a9-38051198090418_48-37245541626193,DEU,nature stable,nature stable
a8-69097684349826_49-44786907440319,DEU,nature stable,nature stable
a8-7326158653525_52-75120851336463,DEU,crop/built stable,crop/built stable
a7-81317469894211_51-92692562442409,DEU,crop/built stable,crop/built stable
a10-2474972875053_53-6833331365112,DEU,crop/built stable,crop/built stable
a13-74121223169995_52-72014658869945,DEU,crop/built stable,crop/built stable
a12-43763739686752_48-70158952841179,DEU,crop/built stable,crop/built stable
a10-15188108359458_48-38236183895224,DEU,crop/built stable,crop/built stable
a13-73977497070754_51-05860275012178,DEU,crop/built stable,crop/built stable
a10-27731987650431_49-51663949668594,DEU,crop/built stable,crop/built stable
a8-95853578003576_49-2652890941653,DEU,crop/built stable,crop/built stable
a11-92841305361705_51-26684821683679,DEU,crop/built stable,crop/built stable
a12-05840025318176_52-79749122265806,DEU,crop/built stable,crop/built stable
a7-36901504337828_52-9427437557089,DEU,crop/built stable,nature stable
a13-64585891850979_53-10344614936382,DEU,crop/built stable,crop/built stable
a13-59557068676896_53-49060225188327,DEU,crop/built stable,crop/built stable
a10-17538648176661_53-44415801646632,DEU,buffer nature stable,buffer nature stable
a8-5387158995076_53-18123023021516,DEU,buffer crop/built stable,buffer crop/built stable
a11-05392499824296_49-74138947509475,DEU,cropland loss,cropland loss
a12-44982428849789_52-6592235552585,DEU,nature loss,nature stable
a8-55300225660446_53-2504281524574,DEU,nature stable,crop/built stable
a10-04729106662159_48-51830446454044,DEU,nature stable,nature stable
a13-14860340236827_51-51199101630175,DEU,crop/built stable,crop/built stable
a12-78501572939447_51-15318209741525,DEU,nature stable,nature stable
a14-49861162362626_52-48081242986765,DEU,crop/built stable,crop/built stable
a9-44309562077907_49-62352173478708,DEU,nature stable,nature stable
a8-87116079167191_52-2880209971464,DEU,nature stable,crop/built stable
a8-6762639916469_48-9371336600516,DEU,buffer nature stable,buffer nature stable
a7-7042632899217_51-67507371438348,DEU,buffer nature stable,buffer nature stable
a7-37131666544766_50-45022817270866,DEU,buffer nature stable,buffer crop/built stable
a8-28672034712778_49-20146016134689,DEU,buffer nature stable,buffer crop/built stable
a10-23480674633676_49-20430419064694,DEU,nature loss,nature loss
a8-14517196581785_49-30842256549241,DEU,nature stable,crop/built stable
a10-13263735831632_57-15983537009839,DNK,buffer nature stable,buffer crop/built stable
a10-15643293490002_56-68823739731621,DNK,buffer nature stable,buffer nature stable
a9-99003086188793_57-09239011020487,DNK,buffer nature stable,buffer crop/built stable
a14-69889684881853_55-08906992456527,DNK,buffer nature stable,nature loss
a15-03437969722557_55-00004697052268,DNK,buffer nature stable,nature loss
a8-61147538030188_56-40277431812056,DNK,buffer nature stable,cropland loss
a9-13219033214856_57-13429392955383,DNK,buffer nature stable,buffer nature stable
a8-15234401905914_56-44431889720664,DNK,buffer nature stable,buffer crop/built stable
a10-66123060430795_55-25497425134548,DNK,buffer nature stable,cropland loss
a10-13778064957652_55-39367998640062,DNK,buffer nature stable,buffer nature stable
a10-56952109746507_55-35041358423773,DNK,buffer nature stable,buffer crop/built stable
a10-4949280629626_55-38361992672061,DNK,buffer nature stable,buffer crop/built stable
a10-13970442642158_55-26678545460198,DNK,buffer nature stable,buffer crop/built stable
a9-8457225688787_57-48516194430594,DNK,buffer nature stable,buffer nature stable
a10-49754679803699_57-31637664016019,DNK,buffer nature stable,buffer nature stable
a8-11687798432981_55-55637686109776,DNK,buffer nature stable,buffer nature stable
a9-46125317411978_55-70994407646785,DNK,buffer nature stable,buffer nature stable
a9-20357921328261_55-90434596643113,DNK,buffer nature stable,nature loss
a8-49432724519026_56-00187599855958,DNK,buffer nature stable,cropland loss
a9-54366222845597_55-52602909022202,DNK,buffer nature stable,buffer nature stable
a8-28921142352566_55-78579787950326,DNK,buffer nature stable,buffer nature stable
a8-79605944711959_55-21411045814265,DNK,buffer nature stable,buffer crop/built stable
a9-33196072573859_55-48500767506304,DNK,buffer nature stable,buffer crop/built stable
a9-45068431400407_55-08269560360728,DNK,buffer nature stable,buffer crop/built stable
a9-40839715823204_54-96648525696827,DNK,buffer nature stable,nature loss
a11-8932021355728_55-37832283997368,DNK,buffer nature stable,buffer nature stable
a11-82669661384721_55-05731013952237,DNK,buffer nature stable,buffer crop/built stable
a11-2590745569224_54-70523277256642,DNK,buffer nature stable,buffer nature stable
a11-68929143102851_54-68459355677307,DNK,buffer nature stable,nature loss
a11-41333055591761_55-46989777493178,DNK,buffer nature stable,buffer crop/built stable
a11-84845935221056_55-41710005012986,DNK,buffer nature stable,buffer nature stable
a10-06213919496539_56-24932943350536,DNK,buffer nature stable,buffer nature stable
a11-24156253653285_55-64426986218587,DNK,buffer nature stable,buffer nature stable
a10-01620050248899_56-25123085550923,DNK,buffer nature stable,buffer crop/built stable
a10-24802504105367_55-92536920288293,DNK,buffer nature stable,buffer nature stable
a11-15557185374446_55-51511409916877,DNK,buffer nature stable,buffer crop/built stable
a9-80926795633245_55-97840363072687,DNK,buffer nature stable,buffer nature stable
a9-71091165933912_55-53029510211127,DNK,buffer nature stable,buffer nature stable
a10-45338652163902_56-34885430415923,DNK,buffer nature stable,buffer nature stable
a9-95967295886567_57-12843238404004,DNK,buffer crop/built stable,buffer crop/built stable
a9-96547050343013_57-28125998813391,DNK,buffer crop/built stable,buffer crop/built stable
a10-13254149354103_56-80394972816305,DNK,buffer crop/built stable,buffer crop/built stable
a9-81250512520338_56-40568989760354,DNK,buffer crop/built stable,buffer nature stable
a14-8133731155205_55-11201330837529,DNK,buffer crop/built stable,buffer crop/built stable
a8-58627273698218_56-47666680381475,DNK,buffer crop/built stable,buffer crop/built stable
a8-88237621565264_56-93506859950724,DNK,buffer crop/built stable,buffer crop/built stable
a10-25458773161799_55-38199568140108,DNK,buffer crop/built stable,buffer crop/built stable
a9-91619040625911_55-45663487305038,DNK,buffer crop/built stable,buffer nature stable
a10-02075568858156_55-42008458950305,DNK,buffer crop/built stable,buffer crop/built stable
a10-7509859979801_54-92555035606853,DNK,buffer crop/built stable,buffer crop/built stable
a10-34306760563702_55-31016172693473,DNK,buffer crop/built stable,buffer nature stable
a8-45837625112722_55-63199665314071,DNK,buffer crop/built stable,buffer crop/built stable
a9-49004545711752_55-72120692378775,DNK,buffer crop/built stable,cropland loss
a9-04167641671567_55-78108817700954,DNK,buffer crop/built stable,buffer crop/built stable
a9-25528180631375_55-51037377402641,DNK,buffer crop/built stable,buffer crop/built stable
a9-65832672038043_55-53465785613748,DNK,buffer crop/built stable,cropland loss
a9-08895016016861_55-89315455915217,DNK,buffer crop/built stable,buffer crop/built stable
a8-6445415388525_55-7670584712714,DNK,buffer crop/built stable,buffer crop/built stable
a9-22617778133779_55-02768173599203,DNK,buffer crop/built stable,buffer crop/built stable
a9-27756581626075_55-02996520839677,DNK,buffer crop/built stable,cropland loss
a9-55761241685572_55-46685404459212,DNK,buffer crop/built stable,buffer crop/built stable
a9-43818618238391_55-25006427136188,DNK,buffer crop/built stable,buffer crop/built stable
a11-74851987529573_55-32674222767201,DNK,buffer crop/built stable,buffer crop/built stable
a11-89115561747961_54-89598975815298,DNK,buffer crop/built stable,buffer crop/built stable
a12-37059317636502_55-31209813351252,DNK,buffer crop/built stable,nature loss
a12-00687476419305_55-04907543251776,DNK,buffer crop/built stable,buffer crop/built stable
a12-18878439203931_55-29677193354668,DNK,buffer crop/built stable,buffer crop/built stable
a11-40769598082947_55-41315425846565,DNK,buffer crop/built stable,buffer crop/built stable
a10-00922771691332_56-07740834722203,DNK,buffer crop/built stable,cropland loss
a11-1593481519511_55-63408064379539,DNK,buffer crop/built stable,buffer crop/built stable
a9-77234508591482_56-02408995757571,DNK,buffer crop/built stable,buffer crop/built stable
a9-77236421513771_55-85512568237932,DNK,buffer crop/built stable,buffer crop/built stable
a9-87176715049864_56-34859783465205,DNK,buffer crop/built stable,buffer crop/built stable
a9-78145786573651_55-82674161826109,DNK,buffer crop/built stable,buffer crop/built stable
a11-08526059223498_55-66421522534353,DNK,buffer crop/built stable,buffer crop/built stable
