PLOTID,country,m,r
a8-93881727088913_47-26670075730197,CHE,buffer crop/built stable,buffer crop/built stable
a8-42828160996863_47-2965289340795,CHE,buffer crop/built stable,buffer crop/built stable
a9-68303105310928_46-78832834719619,CHE,buffer crop/built stable,buffer crop/built stable
a8-44831150588528_47-18301489900109,CHE,buffer crop/built stable,buffer crop/built stable
a8-7775313817611_46-68073771310553,CHE,buffer crop/built stable,buffer nature stable
a7-01795537453999_46-69411827732518,CHE,buffer crop/built stable,buffer crop/built stable
a6-68417778805612_46-69805046163464,CHE,buffer crop/built stable,buffer crop/built stable
a7-03237360760894_47-02452529169496,CHE,buffer crop/built stable,buffer crop/built stable
a7-9146142884352_47-44707962576386,CHE,crop/built stable,crop/built stable
a8-24998062198436_47-61142260450784,CHE,crop/built stable,crop/built stable
a8-96933932802366_46-35916062372245,CHE,crop/built stable,crop/built stable
a7-13646791168026_46-82337651908806,CHE,crop/built stable,crop/built stable
a8-02905503962854_47-16999701765803,CHE,crop/built stable,crop/built stable
a7-29603701380795_46-89820899851436,CHE,crop/built stable,crop/built stable
a7-45056235030906_46-99663380996882,CHE,crop/built stable,crop/built stable
a7-3955021191127_47-16321060731863,CHE,crop/built stable,crop/built stable
a8-07781293710403_47-23165090806447,CHE,crop/built stable,crop/built stable
a7-13145006586711_46-80477457109286,CHE,crop/built stable,crop/built stable
a8-37231463659773_47-11239167712031,CHE,crop/built stable,crop/built stable
a7-49806239103161_47-11428893777433,CHE,crop/built stable,crop/built stable
a7-10455504012021_46-86288516914304,CHE,crop/built stable,crop/built stable
a8-06354117796755_47-16800669178684,CHE,crop/built stable,crop/built stable
a7-48744532359583_46-95651455908582,CHE,crop/built stable,crop/built stable
a7-6984460201998_47-26668763038726,CHE,crop/built stable,crop/built stable
a7-57357065638625_46-70915461013398,CHE,crop/built stable,crop/built stable
a8-17736810141006_47-26488069851313,CHE,crop/built stable,crop/built stable
a7-14193658604238_46-94261676457716,CHE,crop/built stable,crop/built stable
a6-24523955202802_46-41888577082949,CHE,crop/built stable,crop/built stable
a6-92239792172151_46-37801669422542,CHE,crop/built stable,crop/built stable
a7-99297349589945_46-3300894411081,CHE,crop/built stable,crop/built stable
a8-64900695528898_47-6356258778969,CHE,crop/built stable,crop/built stable
a8-71371270160627_47-59572122619803,CHE,crop/built stable,crop/built stable
a8-47179588432939_47-42579776040527,CHE,crop/built stable,crop/built stable
a8-59082698747676_47-51589155303403,CHE,crop/built stable,nature stable
a8-65866091992641_47-48938127215505,CHE,crop/built stable,crop/built stable
a9-23196388540286_47-58052162044576,CHE,crop/built stable,crop/built stable
a9-45462245595658_47-46656198459014,CHE,crop/built stable,crop/built stable
a9-10373122255755_47-55938310512302,CHE,crop/built stable,crop/built stable
a9-52051114484148_46-84715416604638,CHE,crop/built stable,crop/built stable
a8-60865171514381_47-04914489048534,CHE,crop/built stable,crop/built stable
a8-48479217774419_47-3935704448079,CHE,crop/built stable,crop/built stable
a9-49618819909206_47-2128312917698,CHE,crop/built stable,crop/built stable
a8-47211137224139_47-38808175899054,CHE,crop/built stable,crop/built stable
a6-78121456657359_46-89796601376235,CHE,crop/built stable,crop/built stable
a6-80070693174332_46-57415791661318,CHE,crop/built stable,crop/built stable
a6-86366837877557_46-824709084506,CHE,crop/built stable,crop/built stable
a6-808244073727_47-0885983315157,CHE,crop/built stable,crop/built stable
a8-16649410383248_47-40497207219057,CHE,cropland loss,cropland loss
a7-35797003455343_47-06295724102488,CHE,cropland loss,crop/built stable
a7-8075104387274_47-32459137242596,CHE,cropland loss,cropland loss
a7-61295840120353_47-30725783706046,CHE,buffer crop/built stable,buffer crop/built stable
a7-33985326949885_47-1579872215607,CHE,cropland loss,cropland loss
a8-15103103474223_47-20302857903616,CHE,cropland loss,cropland loss
a7-5786697528929_46-90356334672875,CHE,cropland loss,crop/built stable
a7-57863254845037_46-90437315419756,CHE,cropland loss,cropland loss
a7-19345846891816_46-8581164986489,CHE,cropland loss,nature stable
a7-72735898277024_47-2065117266343,CHE,cropland loss,cropland loss
a7-77202328185681_47-3039700053379,CHE,cropland loss,nature loss
a7-35687754224917_47-06374122044113,CHE,cropland loss,cropland loss
a7-72441750412308_47-25885998720165,CHE,cropland loss,cropland loss
a7-5246146066098_47-20189746358477,CHE,cropland loss,cropland loss
a8-29052111202182_47-39888669939054,CHE,cropland loss,nature loss
a7-58492406576022_46-94459518109726,CHE,cropland loss,crop/built stable
a7-31911601385428_47-13036600287894,CHE,cropland loss,cropland loss
a7-68629503534242_47-26660967827338,CHE,cropland loss,crop/built stable
a6-08599006034772_46-17993708865529,CHE,cropland loss,nature stable
a6-16385200996496_46-30898886019681,CHE,cropland loss,crop/built stable
a6-18325759028208_46-17309047052672,CHE,cropland loss,cropland loss
a6-20906773504166_46-40598271174495,CHE,cropland loss,cropland loss
a7-02423355272958_46-25031060544698,CHE,cropland loss,nature stable
a6-09969959835052_46-16060197358158,CHE,cropland loss,crop/built stable
a7-5215407194306_46-27461945662352,CHE,cropland loss,cropland loss
a8-80249467517939_47-54398344853953,CHE,cropland loss,cropland loss
a8-82415781659206_47-70632503017298,CHE,cropland loss,cropland loss
a8-66735611914678_47-57923333518237,CHE,cropland loss,crop/built stable
a8-85074452411301_47-29623325100078,CHE,cropland loss,nature loss
a8-74818950547365_47-40141756964757,CHE,cropland loss,crop/built stable
a8-44889373526859_47-28332033394251,CHE,cropland loss,cropland loss
a9-4843003131549_47-16101307536516,CHE,cropland loss,cropland loss
a6-63250225027387_46-63453501516715,CHE,cropland loss,cropland loss
a6-53272656603823_46-52411297528171,CHE,cropland loss,cropland loss
a6-90947946103752_46-88621640344982,CHE,cropland loss,cropland loss
a6-62821186914741_46-57041435089035,CHE,cropland loss,crop/built stable
a6-58560192608857_46-7503907866684,CHE,cropland loss,cropland loss
a7-08665918467777_46-73564239671231,CHE,cropland loss,cropland loss
a6-92844556214386_46-78359583499484,CHE,cropland loss,cropland loss
a6-84182105802236_46-70558420113146,CHE,cropland loss,nature loss
a8-21817692090032_47-53898040621402,CHE,nature loss,nature loss
a7-79486221286826_47-40456423379025,CHE,nature loss,nature loss
a9-75578552871899_46-92888386426991,CHE,nature loss,nature stable
a8-2746943352139_46-92943710759314,CHE,nature loss,nature stable
a8-34947185266485_47-10178157862942,CHE,nature loss,nature stable
a7-47626824336288_46-96499118807642,CHE,nature loss,nature loss
a7-32022289513322_46-49124458536956,CHE,nature loss,crop/built stable
a7-72537046879027_46-79371474710066,CHE,nature loss,cropland loss
a7-64145766130514_46-97817735719858,CHE,nature loss,crop/built stable
a7-28574804915315_46-9400183969783,CHE,nature loss,nature loss
a8-37200908021792_47-10527387182648,CHE,nature loss,nature stable
a7-97132672609089_47-35613251384284,CHE,nature loss,nature stable
a7-84797734283188_46-71814000052051,CHE,nature loss,nature loss
a7-24589959676169_46-60162740312082,CHE,nature loss,nature loss
a7-6116827269805_47-35810818401109,CHE,nature loss,nature loss
a6-20935278583938_46-40563219683924,CHE,nature loss,cropland loss
a6-23253287430062_46-20567598285284,CHE,nature loss,nature loss
a7-49273821472333_46-30827803885688,CHE,nature loss,cropland loss
a9-30252114551292_47-55975358565956,CHE,nature loss,cropland loss
a9-23706322448603_47-42403141588706,CHE,nature loss,cropland loss
a9-16326884336797_47-45814462854452,CHE,nature loss,cropland loss
a8-46494515915_47-69278557019762,CHE,nature loss,cropland loss
a9-05298802404514_47-1752107964256,CHE,nature loss,nature loss
a9-4640281368346_47-05594516644455,CHE,nature loss,crop/built stable
a8-93210125110223_47-29157133514291,CHE,nature loss,crop/built stable
a9-27982881252655_46-99455637116779,CHE,nature loss,nature stable
a8-63986373999883_47-02721173854446,CHE,nature loss,cropland loss
a8-88079907765628_47-15799658020452,CHE,nature loss,nature stable
a9-68007556918691_46-77940565526206,CHE,buffer crop/built stable,buffer nature stable
a6-68126252286165_46-56278395530843,CHE,nature loss,nature stable
a6-62448470283821_46-56335779628611,CHE,nature loss,cropland loss
a7-10346133899015_46-59815377100999,CHE,nature loss,nature loss
a6-89274791875035_47-12078374844609,CHE,nature loss,nature stable
a7-08868852144463_46-82957519789159,CHE,nature loss,crop/built stable
a6-9634136989541_46-77215287865172,CHE,nature loss,nature loss
a6-72629653213206_47-04867308908713,CHE,nature loss,cropland loss
a6-84706276008479_46-62842425605773,CHE,nature loss,nature stable
a6-71497030702375_46-98778430350594,CHE,nature loss,nature stable
a6-68453767911402_46-51647219873345,CHE,nature loss,cropland loss
a7-52121227606208_47-40957507930139,CHE,nature stable,crop/built stable
a8-30445398056578_47-54791652776078,CHE,nature stable,nature stable
a7-95869524703036_47-5024746478602,CHE,nature stable,nature stable
a7-5813491593576_47-46666590950545,CHE,nature stable,crop/built stable
a8-88988366777399_46-38484677495101,CHE,nature stable,nature stable
a8-83217532860098_46-21399530629948,CHE,nature stable,nature stable
a8-46358427922562_46-27283997016086,CHE,nature stable,nature stable
a8-67555711802712_46-49112459731007,CHE,nature stable,nature stable
a9-20856958100986_46-30634466674378,CHE,nature stable,nature stable
a8-78150113173022_46-23928187458459,CHE,nature stable,nature stable
a8-57498634601774_46-42183436846445,CHE,nature stable,nature stable
a8-89329809775319_46-48980772147081,CHE,nature stable,nature stable
a9-03279134169271_46-07944014179388,CHE,nature stable,nature stable
a8-87297041335954_46-00895498834405,CHE,nature stable,nature stable
a9-07746197744493_46-49515084666494,CHE,nature stable,nature stable
